iter	Logloss
0	0.6553393245
1	0.6233797743
2	0.5982117749
3	0.5778523591
4	0.5675429686
5	0.5538941781
6	0.5458147775
7	0.5378305745
8	0.531843148
9	0.5276238378
10	0.5233866001
11	0.5198459309
12	0.5132444427
13	0.5099495321
14	0.5077218121
15	0.5049499809
16	0.5019870601
17	0.4976469878
18	0.4959874165
19	0.4941855877
20	0.4924152421
21	0.4894199962
22	0.4879169849
23	0.4872207594
24	0.4856125801
25	0.483305035
26	0.4823692261
27	0.48172119
28	0.4815551046
29	0.4811885304
30	0.4796146939
31	0.4780952471
32	0.4768177502
33	0.4760440157
34	0.4745156
35	0.4723004051
36	0.4709480023
37	0.4701174054
38	0.4695150514
39	0.4683904057
40	0.4675995924
41	0.4667044766
42	0.46573048
43	0.4649859327
44	0.4633210502
45	0.4629770583
46	0.4625102116
47	0.4601526469
48	0.458439999
49	0.4580585133
50	0.4559928507
51	0.4547405891
52	0.4526450263
53	0.4510763129
54	0.4494779495
55	0.4483191776
56	0.4473225234
57	0.444965493
58	0.4420510402
59	0.4395635696
60	0.4368777117
61	0.4326161455
62	0.4306959748
63	0.4296946469
64	0.4279949686
65	0.4238565172
66	0.4220096138
67	0.4185098944
68	0.417526457
69	0.415202954
70	0.412467905
71	0.4101357493
72	0.4089273234
73	0.4068638226
74	0.4057461195
75	0.4032844558
76	0.4007386322
77	0.3994557161
78	0.3975843331
79	0.3948906843
80	0.3911020791
81	0.3893277316
82	0.388155671
83	0.3853180038
84	0.3828659723
85	0.3798312346
86	0.3791795389
87	0.3784408591
88	0.3768924794
89	0.3760823234
90	0.37460709
91	0.3724743897
92	0.3720040638
93	0.3703602149
94	0.3692294505
95	0.3687156709
96	0.367878438
97	0.3660066159
98	0.3643514515
99	0.3635721217
100	0.359435206
101	0.3588975155
102	0.3570280539
103	0.3548325686
104	0.3529722846
105	0.3521362841
106	0.3491931411
107	0.3468554765
108	0.3462644067
109	0.3448321253
110	0.3433250545
111	0.3424285415
112	0.3411447459
113	0.3393355008
114	0.3389485586
115	0.3382225395
116	0.3363272751
117	0.3339085957
118	0.3328358687
119	0.3318721503
120	0.3310430175
121	0.328904148
122	0.3280873242
123	0.3257461097
124	0.3237714718
125	0.3232869282
126	0.3224815039
127	0.3222232952
128	0.3214383187
129	0.3206163865
130	0.3194278086
131	0.3188789252
132	0.318580275
133	0.3174670336
134	0.3154079336
135	0.3145823503
136	0.3135301359
137	0.3128751439
138	0.3118575166
139	0.3105541088
140	0.3090214761
141	0.3078532955
142	0.3072475501
143	0.3065956568
144	0.3063055325
145	0.3059325089
146	0.3043471105
147	0.303085813
148	0.3017061858
149	0.3008375035
150	0.3002320996
151	0.2989274844
152	0.2970375706
153	0.2961398738
154	0.2947356536
155	0.2936501156
156	0.2930879239
157	0.2925636482
158	0.2922900061
159	0.2917242374
160	0.2914920898
161	0.290682778
162	0.2894053092
163	0.2883372225
164	0.2877312821
165	0.2873353258
166	0.2868098205
167	0.2861983253
168	0.2860072635
169	0.285505347
170	0.2851538268
171	0.2847931861
172	0.2842906365
173	0.2841618577
174	0.2834138504
175	0.282794154
176	0.2821939336
177	0.2819594566
178	0.2815350816
179	0.2812601375
180	0.2808234158
181	0.2800118149
182	0.2786432743
183	0.2784168907
184	0.2779029545
185	0.2768457331
186	0.2762789953
187	0.275268111
188	0.2738731922
189	0.2735497851
190	0.2723042609
191	0.2718300374
192	0.2713993254
193	0.2704506209
194	0.2697670594
195	0.2689484177
196	0.2684141784
197	0.2674558924
198	0.2670927346
199	0.266344626
200	0.2655868555
201	0.2646813956
202	0.2640690313
203	0.2633769117
204	0.2627781978
205	0.2621791653
206	0.2613979639
207	0.2608311153
208	0.2601956776
209	0.2596451362
210	0.259207926
211	0.2587010388
212	0.258024163
213	0.2575330344
214	0.2571836496
215	0.256708397
216	0.2564415184
217	0.2557816838
218	0.2550012062
219	0.2545752462
220	0.2539336565
221	0.2536572579
222	0.2532026602
223	0.2527720657
224	0.252415831
225	0.2521423358
226	0.251706596
227	0.2512186843
228	0.2511440009
229	0.2508992692
230	0.2506445317
231	0.2502005505
232	0.2493509482
233	0.2486656831
234	0.2484478929
235	0.2482181517
236	0.2479305611
237	0.2474360822
238	0.2473499113
239	0.246930714
240	0.246162287
241	0.2454178643
242	0.2450948874
243	0.2447187778
244	0.2440429233
245	0.2430764589
246	0.2427009719
247	0.2420474352
248	0.241778258
249	0.2416739171
250	0.2412855936
251	0.2402562898
252	0.2397519815
253	0.2394364408
254	0.2391573897
255	0.2389939724
256	0.2386336579
257	0.238109709
258	0.2377651168
259	0.2371242346
260	0.2368093047
261	0.2366016931
262	0.2360735032
263	0.2357257517
264	0.2354848283
265	0.2351306342
266	0.2348789146
267	0.2343239115
